Record ,longitude,latitude,Elev,Trend,Elev,Elev (KPB),Elev difference,Cluster #,Time bin
768.0,-106.6961041,47.5814802,827.0,144.0,827.0,805.576375,21.423625,0,2
962.0,-106.6754967,47.55666016,817.0,137.0,817.0,794.6900528,22.3099472,0,2
932.0,-106.6803664,47.55971128,819.0,136.0,819.0,796.4431247,22.5568753,0,2
1133.0,-106.5759405,47.58697374,810.0,49.1,810.0,785.9368948,24.0631052,0,2
1174.0,-106.5616879,47.58760063,806.0,123.0,806.0,783.6023927,22.3976073,0,2
1544.0,-106.4880335,47.56612965,776.0,45.0,776.0,764.3289577,11.6710423,0,2
1537.0,-106.4609408,47.58389836,779.0,70.0,779.0,764.7452691,14.2547309,0,2
1543.0,-106.4601492,47.5831706,780.0,71.0,780.0,764.3921207,15.6078793,0,2
1592.0,-106.4398725,47.58964465,786.0,70.0,786.0,762.7088857,23.2911143,0,2
1580.0,-106.4947061,47.5576656,787.0,28.0,787.0,763.0324801,23.9675199,0,2
2138.0,-106.205156,47.59962161,738.0,93.0,738.0,724.3371938,13.6628062,0,2
2265.0,-106.2071454,47.57275061,731.0,61.0,731.0,716.8069208,14.1930792,0,2
2230.0,-106.1872809,47.59217774,739.0,68.3,739.0,719.0156825,19.9843175,0,2
2206.0,-106.1911722,47.59484579,742.0,95.0,742.0,720.4806568,21.5193432,0,2
2.0,-107.2998517,47.60618853,935.0,158.0,935.0,920.0295217,14.9704783,0,2
491.0,-106.7090596,47.62973398,835.0,125.0,835.0,821.939029,13.060971,0,2
532.0,-106.6951743,47.62844637,834.0,129.0,834.0,819.1059831,14.8940169,0,2
551.0,-106.6939382,47.62562122,833.0,118.0,833.0,818.063948,14.936052,0,2
582.0,-106.6881174,47.62342152,834.0,129.0,834.0,816.3950834,17.6049166,0,2
603.0,-106.7014456,47.61005127,835.0,72.0,835.0,814.8515449,20.1484551,0,2
809.0,-106.5742552,47.64516959,814.0,111.0,814.0,802.6328701,11.3671299,0,2
1099.0,-106.5255483,47.62411544,797.0,108.0,797.0,787.8907046,9.1092954,0,2
1197.0,-106.5218262,47.60501697,804.0,65.0,804.0,781.6553264,22.3446736,0,2
1079.0,-106.5255263,47.6265632,812.0,126.0,812.0,788.6033874,23.3966126,0,2
1441.0,-106.4567305,47.60374771,774.0,121.0,774.0,769.8063165,4.1936835,0,2
1421.0,-106.4480419,47.61335969,783.0,41.0,783.0,771.0837913,11.9162087,0,2
1207.0,-106.5033755,47.61394346,793.0,77.0,793.0,781.0102194,11.9897806,0,2
1460.0,-106.4582916,47.60103744,784.0,110.0,784.0,769.2881933,14.7118067,0,2
