Record #,longitude,latitude,Elev,Trend,Elev (KPB),Elev difference
570,-106.4610973,47.76224515,774,124,816.9154934,-42.9154934
492,-106.5466068,47.72787727,779,124,821.9142122,-42.9142122
1825,-106.2667598,47.63912477,704,98,746.7359236,-42.7359236
31,-107.2154069,47.60192133,861,106.2,903.7356121,-42.7356121
425,-106.8814543,47.54107487,784,64,826.6592791,-42.6592791
1771,-106.2781134,47.64556734,708,124,750.6186448,-42.6186448
498,-106.5454452,47.72738005,779,117,821.5648222,-42.5648222
1798,-106.3116435,47.61802394,706,70,748.4424559,-42.4424559
544,-106.5362155,47.72189829,776,116,818.3381533,-42.3381533
666,-106.6208032,47.64684278,769,81,811.3341134,-42.3341134
514,-106.6487721,47.66058012,778,130,820.281773,-42.281773
632,-106.6022068,47.6639934,771,23.79,813.0608198,-42.0608198
330,-106.8160531,47.60623306,792,108,834.0274587,-42.0274587
778,-106.4605967,47.72147318,763,70,804.9089293,-41.9089293
650,-106.4504166,47.75151126,770,162,811.8992763,-41.8992763
1601,-106.1938323,47.73442946,720,119,761.8844563,-41.8844563
232,-107.102893,47.5817241,836,135,877.840123,-41.840123
1795,-106.3147797,47.61731318,707,79,748.7866527,-41.7866527
1834,-106.1974406,47.67712965,704,173,745.7131821,-41.7131821
157,-107.2030222,47.55411727,846,97,887.6713327,-41.6713327
452,-106.6364082,47.68303632,783,68,824.6505691,-41.6505691
156,-107.2006771,47.55874253,847,160,888.5946098,-41.5946098
1816,-106.2278922,47.66500253,706,158,747.4973897,-41.4973897
468,-106.6341216,47.68021655,782,72,823.4265365,-41.4265365
581,-106.4592898,47.76155732,775,122,816.3986108,-41.3986108
175,-107.0038523,47.5649702,814,156,855.3543273,-41.3543273
161,-107.2010339,47.55361555,846,87,887.1687603,-41.1687603
125,-107.1272147,47.61872666,852,127,892.9061229,-40.9061229
382,-106.6476976,47.69075699,788,18,828.8977381,-40.8977381
595,-106.6286072,47.65758391,775,118.7,815.8454646,-40.8454646
523,-106.6471868,47.65972109,779,125,819.7501722,-40.7501722
640,-106.5136383,47.71631372,772,103,812.7312509,-40.7312509
559,-106.4634241,47.76336723,777,123,817.651988,-40.651988
138,-107.2166844,47.55941497,851,56,891.6409182,-40.6409182
171,-107.0425607,47.54223207,815,129,855.6344167,-40.6344167
643,-106.452228,47.75283802,772,164,812.6070888,-40.6070888
539,-106.6315855,47.66511795,778,148,818.5726886,-40.5726886
1826,-106.2021694,47.67708919,706,57,746.5284684,-40.5284684
143,-107.0595888,47.54777639,820,151,860.2740143,-40.2740143
1747,-106.2843506,47.65068949,713,114,753.2131748,-40.2131748
99,-107.1372657,47.62042942,855,94,895.1879556,-40.1879556
1803,-106.2822908,47.63454321,708,104,748.1217473,-40.1217473
636,-106.6004525,47.66455777,773,17.94,812.9143439,-39.9143439
13,-107.2609505,47.5880835,868,12,907.8453579,-39.8453579
1380,-106.3898403,47.65763005,734,151,773.7889285,-39.7889285
512,-106.6367841,47.6686431,781,71,820.5184962,-39.5184962
6,-107.1230499,47.56779203,838,157,877.3833523,-39.3833523
1763,-106.2795389,47.64723406,712,124,751.3577897,-39.3577897
611,-106.6410785,47.6445839,775,118,814.2565303,-39.2565303
586,-106.5273867,47.72002762,777,99,816.2379788,-39.2379788
97,-107.2128521,47.5741565,856,63,895.233265,-39.233265
74,-107.1277031,47.63305195,858,78,897.1492347,-39.1492347
75,-107.1271639,47.63321493,858,42,897.1011821,-39.1011821
2023,-106.2865437,47.58272105,695,94,733.6880705,-38.6880705
218,-106.9904986,47.55289305,811,84,849.470716,-38.470716
1957,-106.2003482,47.6499616,700,51.8,738.2560961,-38.2560961
26,-107.2196551,47.6010743,866,47.4,904.2485565,-38.2485565
27,-107.2188511,47.60156678,866,25.6,904.2480124,-38.2480124
531,-106.6327319,47.66642435,781,145,819.156926,-38.156926
736,-106.5757719,47.65973459,769,70,807.1544953,-38.1544953
323,-106.6754615,47.69505183,797,117,835.0505923,-38.0505923
1714,-106.2866253,47.6554689,717,95,755.0121016,-38.0121016
234,-107.1320169,47.56367532,840,131,877.7847345,-37.7847345
334,-106.9342696,47.53327624,796,29,833.7706593,-37.7706593
59,-107.2263094,47.57792727,861,108,898.7248973,-37.7248973
1559,-106.3307976,47.65853715,726,109,763.6733192,-37.6733192
1762,-106.296749,47.6378179,714,120,751.6212321,-37.6212321
151,-107.2029844,47.56082185,852,128,889.6067253,-37.6067253
171,-107.1847649,47.55778709,848,102,885.4787997,-37.4787997
20,-107.2355135,47.59544812,868,121,905.4432986,-37.4432986
229,-107.1140624,47.57638961,841,49,878.2804817,-37.2804817
432,-106.8796162,47.54058312,789,138,826.1890462,-37.1890462
149,-107.204708,47.56166157,853,126,890.1587256,-37.1587256
436,-106.8792871,47.54030057,789,157,826.0487721,-37.0487721
1810,-106.2803908,47.6346904,711,110,747.8321198,-36.8321198
137,-107.2147723,47.56104465,855,71,891.7729003,-36.7729003
1562,-106.3305262,47.65834234,727,128.7,763.5693882,-36.5693882
1563,-106.3305262,47.65834234,727,126,763.5693844,-36.5693844
580,-106.6003817,47.67661612,780,139,816.4236326,-36.4236326
1568,-106.3300015,47.65813248,727,147,763.4143852,-36.4143852
327,-106.6727637,47.69446133,798,116,834.4026031,-36.4026031
607,-106.5964063,47.67208252,778,158,814.3971948,-36.3971948
146,-107.1065081,47.62274425,854,126,890.390398,-36.390398
610,-106.6555378,47.63613386,778,161,814.3431624,-36.3431624
43,-107.1990859,47.60359428,865,52,901.3138709,-36.3138709
1925,-106.3035662,47.59502712,704,110,740.2842235,-36.2842235
599,-106.5234002,47.71912684,779,113,815.2722385,-36.2722385
135,-107.2152243,47.5623047,856,20,892.2210942,-36.2210942
28,-107.2202396,47.60042409,868,21,904.1648278,-36.1648278
163,-107.2029898,47.55207524,851,91,887.0730049,-36.0730049
618,-106.5967314,47.67051233,778,169,813.9955947,-35.9955947
1921,-106.303368,47.59615412,705,56,740.582499,-35.582499
4,-107.1426479,47.55638637,842,122,877.5655101,-35.5655101
445,-106.7953166,47.58970591,790,145,825.5417446,-35.5417446
1478,-106.3595746,47.65787577,733,51,768.5371353,-35.5371353
172,-107.1884189,47.55551278,850,68,885.4707898,-35.4707898
